order_id,order_date,customer_id,customer_name,email,phone,product,category,quantity,unit_price,discount,payment_method,shipping_city,shipping_state,order_status
ORD100000,2025-06-17 04:00:00,CUST1458,David Okafor,,08012345678,USB-C Charger,Electronics,1,18325.773044816542,0.0,Card,Port Harcourt,Rivers,Completed
ORD100001,2026-01-19 03:00:00,CUST1408,Tunde Smith,bademail.com,080-1234-5678,Backpack,Fashion,1,44599.21583609375,0.0,Bank Transfer,Lagos,Lagos,Returned
ORD100002,2026-06-06 05:00:00,CUST1690,Mary Okafor,bademail.com,08012345678,Blender,Home,1,56364.1608136217,0.1,Paystack,Abuja,FCT,Cancelled
ORD100003,2025-09-16 09:00:00,CUST1162,Emeka Williams,info@company.com,+2348012345678,Wireless Headphones,Electronics,2,88477.72121565371,0.0,Flutterwave,Lekki,Lagos,Pending
ORD100004,10/03/2025,,Emeka Ibrahim,info@company.com,+2348012345678,Office Chair,Home,-1,141235.2480463896,0.05,Flutterwave,Abuja,FCT,Cancelled
ORD100005,2025-12-31 15:00:00,CUST2494,Chioma Smith,bademail.com,,USB-C Charger,Electronics,2,17171.812176423402,0.2,Bank Transfer,Ikeja,Lagos,Cancelled
ORD100006,2026-07-04 13:00:00,CUST1647,Tunde Adeyemi,customer@gmail.com,+2348012345678,Wireless Headphones,Electronics,1,92023.31411115428,0.2,Flutterwave,Lagos,Lagos,Cancelled
ORD100007,2026-03-15 20:00:00,CUST1940,David Adeyemi,user@yahoo.com,+2348012345678,Backpack,Fashion,2,44057.9074495695,0.2,Cash,Benin City,Edo,Failed
ORD100008,2025-09-05 02:00:00,CUST1450,David Williams,bademail.com,08012345678,Smart Watch,Electronics,3,115627.20746574223,0.0,Bank Transfer,Benin City,Edo,Pending
ORD100009,2025-09-18 12:00:00,CUST2221,Ngozi Williams,info@company.com,08012345678,Smart Watch,Electronics,2,113966.23502564341,0.0,Flutterwave,Benin City,Edo,Failed
ORD100010,2025-03-18 03:00:00,CUST1602,Tunde Smith,bademail.com,08012345678,Office Chair,Home,2,158160.66189811134,0.1,Paystack,Ibadan,Oyo,Pending
ORD100011,2026-07-29 13:00:00,CUST2309,Chioma Smith,info@company.com,+2348012345678,T-Shirt,Fashion,4,18141.764508430653,0.2,Card,Port Harcourt,Rivers,Failed
ORD100012,2025-09-05 19:00:00,CUST1630,Chioma Okafor,user@yahoo.com,08012345678,Blender,Home,1,53193.58004398739,0.15,Card,Lekki,Lagos,Failed
ORD100013,2026-01-11 07:00:00,CUST1339,Emeka Williams,,,Running Shoes,Fashion,1,71036.71777809694,0.2,Flutterwave,Kano,Kano,Pending
ORD100014,2025-10-27 01:00:00,CUST2060,Ngozi Okafor,user@yahoo.com,+2348012345678,Office Chair,Home,1,132356.75099346403,0.0,Paystack,Ibadan,Oyo,Failed
ORD100015,2025-02-18 11:00:00,CUST2450,John Smith,customer@gmail.com,08012345678,Backpack,Fashion,2,45020.93736213147,0.0,Paystack,Lagos,Lagos,Pending
ORD100016,2026-01-04 02:00:00,CUST1271,Ngozi Smith,bademail.com,,Office Chair,Home,2,136021.88751649446,0.0,Flutterwave,Abuja,FCT,Returned
ORD100017,2026-05-13 17:00:00,CUST1111,Mary Okafor,bademail.com,080-1234-5678,Blender,Home,1,61486.87312599571,0.0,Bank Transfer,Kano,Kano,Pending
ORD100018,2025-10-16 00:00:00,CUST1376,Emeka Ibrahim,user@yahoo.com,08012345678,Backpack,Fashion,1,41522.29825844904,0.2,Card,Ikeja,Lagos,Completed
ORD100019,2026-05-30 10:00:00,CUST1485,David Ibrahim,bademail.com,,T-Shirt,Fashion,3,16969.490277117056,0.15,Card,ABUJA,Lagos,Pending
ORD100020,2025-07-01 01:00:00,CUST1932,Emeka Ibrahim,,,Smart Watch,Electronics,1,102405.53015602942,0.1,Bank Transfer,Benin City,Edo,Completed
ORD100021,2026-05-26 14:00:00,CUST1643,John Okafor,,,External SSD,Electronics,2,95054.15727547076,0.2,Bank Transfer,Lagos,Lagos,Completed
ORD100022,2025-02-16 18:00:00,CUST2219,Mary Smith,bademail.com,08012345678,T-Shirt,Fashion,1,19589.746058024724,0.2,Bank Transfer,Ikeja,Lagos,Failed
ORD100023,2025-10-14 04:00:00,CUST2347,Aisha Adeyemi,user@yahoo.com,080-1234-5678,External SSD,Electronics,1,90035.03309970109,0.15,Bank Transfer,Lekki,Lagos,Cancelled
ORD100024,2025-01-07 08:00:00,CUST1939,Mary Okafor,,+2348012345678,Coffee Maker,Home,1,72084.73959430223,0.05,Cash,Lekki,Lagos,Completed
ORD100025,2025-10-27 03:00:00,CUST2113,Emeka Williams,,08012345678,Backpack,Fashion,1,43410.0509111857,0.2,Cash,Ikeja,Lagos,Completed
ORD100026,2026-05-22 19:00:00,CUST2134,David Adeyemi,info@company.com,+2348012345678,Running Shoes,Fashion,1,67828.95843280437,0.05,Flutterwave,Lekki,Lagos,Cancelled
ORD100027,2025-03-05 00:00:00,CUST2300,Tunde Adeyemi,customer@gmail.com,08012345678,T-Shirt,Fashion,1,17400.803538978318,0.05,Flutterwave,Lagos,Lagos,Cancelled
ORD100028,2026-01-18 21:00:00,CUST1020,Mary Okafor,user@yahoo.com,08012345678,Running Shoes,Fashion,2,69349.73525851822,0.2,Paystack,Benin City,Edo,Pending
ORD100029,2025-09-06 22:00:00,CUST1082,Aisha Smith,user@yahoo.com,08012345678,Smart Watch,Electronics,1,106780.92996152162,0.2,POS,Port Harcourt,Rivers,Failed
ORD100030,2025-04-21 22:00:00,CUST1363,Tunde Okafor,user@yahoo.com,080-1234-5678,Running Shoes,Fashion,4,68671.02444991922,0.15,Flutterwave,Abuja,FCT,Pending
ORD100031,2025-09-19 03:00:00,CUST1080,Ngozi Smith,user@yahoo.com,,Office Chair,Home,1,140640.09430893164,0.05,Bank Transfer,Lekki,Lagos,Completed
ORD100032,2025-02-17 09:00:00,CUST2584,Emeka Adeyemi,,,Backpack,Fashion,1,43507.95219422622,0.2,Cash,Port Harcourt,Rivers,Completed
ORD100033,2025-05-02 21:00:00,CUST2190,Emeka Okafor,customer@gmail.com,,USB-C Charger,Electronics,3,17444.47360204728,0.1,POS,Port Harcourt,Rivers,Failed
ORD100034,2025-06-23 21:00:00,CUST1091,Tunde Okafor,,+2348012345678,T-Shirt,Fashion,1,17511.197298412553,0.0,Flutterwave,Abuja,FCT,Cancelled
ORD100035,2026-05-07 08:00:00,CUST1616,Emeka Ibrahim,info@company.com,,External SSD,Electronics,1,98746.9598696936,0.2,Bank Transfer,Lekki,Lagos,Pending
ORD100036,2026-04-08 09:00:00,CUST2533,David Williams,,080-1234-5678,Smart Watch,Electronics,2,107933.65371267959,0.0,Cash,Benin City,Edo,Cancelled
ORD100037,2025-11-14 10:00:00,CUST1905,Ngozi Smith,,,Backpack,Fashion,1,44467.37735249042,0.05,Flutterwave,Ibadan,Oyo,Completed
ORD100038,2025-03-05 18:00:00,CUST2539,Chioma Adeyemi,user@yahoo.com,+2348012345678,Office Chair,Home,1,134773.2649051274,0.0,Bank Transfer,Ibadan,Oyo,Returned
ORD100039,2025-11-07 21:00:00,CUST1849,Chioma Ibrahim,bademail.com,,External SSD,Electronics,3,90135.70435199034,0.0,Card,Lekki,Lagos,Returned
ORD100040,2025-02-04 06:00:00,CUST2142,Chioma Okafor,bademail.com,+2348012345678,Backpack,Fashion,1,44531.89945446703,0.2,Paystack,Kano,Kano,Failed
ORD100041,2026-02-23 05:00:00,CUST2474,Tunde Williams,bademail.com,+2348012345678,Blender,Home,5,60826.403129051185,0.15,POS,Kano,Kano,Cancelled
ORD100042,2026-06-07 19:00:00,CUST2593,Ngozi Smith,info@company.com,,Backpack,Fashion,3,38450.86017246378,0.1,Bank Transfer,Port Harcourt,Rivers,Cancelled
ORD100043,2025-04-05 11:00:00,CUST1309,Chioma Ibrahim,user@yahoo.com,+2348012345678,Blender,Home,1,52945.05466828099,0.15,Cash,Lekki,Lagos,Failed
ORD100044,2026-07-23 14:00:00,CUST1861,Tunde Williams,customer@gmail.com,,Coffee Maker,Home,1,71668.50814882595,0.1,Cash,Abuja,FCT,Returned
ORD100045,2025-11-30 07:00:00,CUST1450,Emeka Ibrahim,bademail.com,08012345678,Smart Watch,Electronics,1,107554.85847141482,0.15,Flutterwave,Abuja,FCT,Pending
ORD100046,2025-09-26 23:00:00,CUST2213,John Okafor,bademail.com,+2348012345678,Coffee Maker,Home,4,77282.65952056987,0.05,Card,Lagos,Lagos,Cancelled
ORD100047,2025-08-12 03:00:00,CUST1692,Tunde Adeyemi,bademail.com,080-1234-5678,Smart Watch,Electronics,1,117368.04012806666,0.15,Card,Kano,Kano,Failed
ORD100048,2025-06-03 01:00:00,CUST2332,Mary Okafor,customer@gmail.com,+2348012345678,Wireless Headphones,Electronics,0,79889.13160016306,0.0,Paystack,Ibadan,Oyo,Pending
ORD100049,2026-01-21 00:00:00,CUST1447,Ngozi Adeyemi,info@company.com,+2348012345678,Backpack,Fashion,1,42889.49861750662,0.0,Bank Transfer,Lekki,Lagos,Cancelled
